iter	Passed	Remaining
0	1	235
1	3	334
2	4	308
3	8	393
4	10	397
5	13	432
6	16	458
7	19	475
8	21	465
9	25	478
10	28	487
11	31	495
12	34	503
13	38	507
14	41	510
15	42	494
16	46	496
17	49	500
18	52	501
19	55	502
20	58	502
21	62	502
22	65	504
23	68	504
24	72	504
25	75	504
26	78	505
27	82	504
28	85	503
29	88	501
30	89	488
31	92	487
32	96	486
33	99	485
34	102	483
35	105	482
36	106	470
37	110	469
38	113	468
39	116	466
40	119	464
41	123	463
42	126	461
43	129	459
44	132	457
45	136	455
46	139	453
47	142	451
48	146	450
49	149	448
50	152	446
51	156	445
52	160	444
53	163	442
54	166	439
55	170	437
56	173	435
57	177	433
58	180	431
59	183	429
60	187	426
61	190	424
62	193	421
63	197	418
64	200	416
65	203	413
66	207	411
67	210	408
68	213	405
69	217	403
70	220	400
71	223	398
72	227	395
73	230	392
74	233	389
75	237	387
76	240	384
77	243	381
78	247	378
79	250	375
80	253	373
81	257	370
82	260	367
83	263	364
84	266	361
85	270	358
86	273	354
87	276	351
88	280	349
89	283	346
90	286	343
91	289	339
92	292	336
93	296	333
94	299	330
95	302	327
96	305	324
97	308	321
98	312	318
99	315	315
100	318	312
101	321	309
102	325	306
103	328	303
104	331	299
105	334	296
106	338	293
107	341	290
108	344	287
109	347	284
110	350	281
111	353	278
112	357	274
113	360	271
114	363	268
115	366	265
116	369	262
117	373	259
118	376	256
119	379	252
120	382	249
121	385	246
122	388	243
123	392	240
124	395	237
125	398	234
126	401	231
127	405	227
128	408	224
129	411	221
130	414	218
131	418	215
132	421	212
133	424	209
134	427	205
135	430	202
136	434	199
137	437	196
138	440	193
139	443	190
140	446	186
141	450	183
142	453	180
143	456	177
144	459	174
145	463	171
146	466	168
147	469	165
148	473	161
149	476	158
150	479	155
151	482	152
152	485	149
153	488	146
154	492	142
155	495	139
156	498	136
157	502	133
158	505	130
159	508	127
160	512	124
161	515	120
162	518	117
163	521	114
164	525	111
165	528	108
166	532	105
167	535	101
168	538	98
169	542	95
170	545	92
171	549	89
172	552	86
173	555	83
174	559	79
175	562	76
176	565	73
177	569	70
178	572	67
179	575	63
180	579	60
181	582	57
182	585	54
183	589	51
184	592	48
185	595	44
186	598	41
187	602	38
188	605	35
189	608	32
190	611	28
191	615	25
192	618	22
193	621	19
194	624	16
195	627	12
196	631	9
197	634	6
198	637	3
199	640	0
